Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,class
0.293871341,0.558312974,0.72785576,0.799286548,0.446462187,0.579946035,0.300190916,0.795261939,0.215207213,0.349851129,0.496910941,0.571703543,0.666477479,0.730322044,0.506969127,0.775606968,0.589390794,0.327291884,0.254167028,0.258170336,0.532187044,0.172003031,0.162239257,0.343873389,0.59953137,0.649112543,0.242965031,0.727506249,0.484086521,0.030332399,0
0.7342645,0.356563672,0.753196469,0.767168752,0.34287997,0.509143393,1,0.66196556,0.7656914,0.367448111,0.391912831,0.826802436,0.897345777,0.686339262,0.705365752,0.688424197,0.401859308,0.37010925,0.174557902,0.285573015,0.340189025,0.353598291,0.285913399,0.270759959,0.118750528,0.780937665,0.131931132,0.681236851,0.628089838,0.181561366,0
0.220899519,0.77002219,0.513854854,0.7990993,0.633867802,0.256160525,0.455193437,0.461500061,0.406128267,0.542492287,0.552733821,0.515420999,0.663704866,0.520533284,0.639210467,0.936633417,0.730474016,0.18161467,0.476284401,0.083160471,0.444871804,0.829246866,0.66424919,0.27623831,0.725220073,0.791865861,0.163630007,0.708581073,0.678841666,0.259279116,0
0.372296269,0.47946896,0.714182194,0.945390752,0.798679697,0.569237495,0.697677569,0.636862412,0.338563749,0.26051122,0.784400364,0.270200834,0.269602599,0.165715594,0.669062186,1,0.60307383,0.273073283,0.552497334,0.444759279,0.441009784,0.601313395,0.527527668,0.129470453,0.415664577,0.742870449,0.326756276,0.441762899,0.520787745,0.021424447,0
1,0,0.957247818,0.220582615,0.379250335,0.434880577,0.002291998,0.741515941,0.404325819,0.77335123,0.962302064,0.298250611,0.395009158,0.103410566,0.472890493,0.769028423,0.61143489,0.437584829,0.686056108,0.309160389,0.550153773,0.428595792,0.650892281,0.140692498,0.512857417,0.63783862,0.145054396,0,0,0.067655064,0
0.240362729,0.539808977,0.692521652,1,0.560051159,0.348725072,0.334805609,0.640973495,0.35771099,0.450261461,0.43389745,0.427932393,0.75495056,0.66715779,0.541413763,0.487083683,0.531328782,0.266001096,0.411207813,0.296774893,0.373858289,0.510873931,0.477423402,0.281437229,0.902413101,0.693748535,0.101391362,0.748321278,0.700840508,0.020125371,0
0.954616274,0.940578262,0.496696003,0.449680273,0.609364436,0.437537553,0.464738843,0.518625514,0.346335177,0.652762974,0.605468781,0,0.461995666,0.207628248,0.69188667,0.676935144,0.824984402,0.016178048,0.564624785,0.328463675,0.333528141,0.247677759,0.083511691,0.45602513,0.206671611,0.619274858,0,0.68247649,0.591512577,0.210883372,0
0.353374719,0.807358913,0.414808542,0.546049766,0.407807935,0.264275977,0.129649384,0.587429539,0.173892472,0.292546739,0.691960792,0.288070267,0.472910734,0.261293122,0.704826761,0.544632392,0.072837443,0.394888966,0.67192463,0.247146074,0.272273394,0.0798002,0.027198895,0.249019477,0.730301839,0.837634835,0.499487403,0.591300993,0.639106854,0.363411415,0
0.814655225,0.949106803,0.579946421,0.235523157,0.561198213,0.755988905,0.66390381,0.680078439,0.38171244,0.378384125,0.655065315,0.747792387,0.737029879,0.327326421,0.866069872,0.624197492,0.367240292,0.257585616,0.165295585,0.167241341,0.212757936,0.591020753,0.518570317,0.371042382,0.017597817,0.772754075,0.101977447,0.671716565,0.528228793,0.061386506,0
0.23772138,0.538017584,0.73763442,0.933678341,0.708800807,0.49325457,0.541261625,0.683730484,0.460307884,0.232193107,0.623683878,0.653860482,0.650343456,0.261661247,0.664050473,0.199907016,0.749345168,0.154092849,0.469693698,0.322179126,0.317353769,0.202975865,0.087120354,0.33156694,0.673542184,0.635487871,0.140631264,0.703530293,0.674629504,0.005773672,0
